CardLabel1,CardLabel2,TimeStamp
adapt(v.),1.適應 2.改編，改寫，改建,0
adept(adj.)(n.),1.熟練的 2.老手，熟練的人，專家,0
adopt(v.),1.採納 2.挑選 3.領養,0
dessert(n.),甜點,0
desert(n.)(v.)(adj.),1.沙漠 2.放棄，離開 3.荒蕪的，無人居住的,0
assent(v.),同意,0
ascent(n.),(地位、職位的)提升,0
accent(n.),1.腔調 2.重點,0
proceed(v.),1.著手進行，繼續發展 2.源自於,0
proceeds(n.),收益、收入,0
proceeding(n.),1.訴訟程序 2.會議記錄,0
precede(v.),1.時間順序發生在...前 2.優先順序領先在...前面,0
precedence(n.),優先權，居先的地位 ,0
precedent(adj.)(n.),1.在...前面的 2.先例,0
contact(v.)(n.),接觸、連絡,0
contract(v.)(n.),1.收縮 2.承包 3.感染、患上(疾病) 4.契約、合同,0
contrast(v.)(n.),1.使對照，拿來比較 2.形成對比 3.對照的人事物,0
